instance Boomer-MaxSAT XGBoost-MaxSAT
instance0 0.002 0.009
instance1 0.002 0.012
instance2 0.002 0.009
instance3 0.002 0.009
instance4 0.002 0.008
instance5 0.002 0.008
instance6 0.001 0.008
instance7 0.001 0.009
instance8 0.002 0.008
instance9 0.003 0.045
instance10 0.003 0.045
instance11 0.002 0.011
instance12 0.002 0.008
instance13 0.002 0.008
instance14 0.002 0.013
instance15 0.002 0.008
instance16 0.002 0.008
instance17 0.002 0.008
instance18 0.004 0.048
instance19 0.002 0.012
instance20 0.002 0.012
instance21 0.002 0.013
instance22 0.002 0.009
instance23 0.002 0.011
instance24 0.002 0.008
instance25 0.002 0.008
instance26 0.001 0.008
instance27 0.002 0.011
instance28 0.002 0.008
instance29 0.002 0.008
instance30 0.002 0.008
instance31 0.002 0.008
instance32 0.002 0.008
instance33 0.003 0.045
instance34 0.004 0.046
instance35 0.003 0.027
instance36 0.002 0.013
instance37 0.002 0.011
instance38 0.001 0.01
instance39 0.002 0.008
instance40 0.002 0.008
instance41 0.002 0.009
instance42 0.002 0.015
instance43 0.002 0.008
instance44 0.002 0.01
instance45 0.002 0.009
instance46 0.002 0.009
instance47 0.002 0.014
instance48 0.002 0.008
instance49 0.002 0.008
instance50 0.002 0.008
instance51 0.002 0.008
instance52 0.003 0.033
instance53 0.002 0.009
instance54 0.002 0.014
instance55 0.002 0.009
instance56 0.002 0.009
instance57 0.002 0.008
instance58 0.002 0.008
instance59 0.002 0.012
instance60 0.002 0.01
instance61 0.002 0.008
instance62 0.003 0.019
instance63 0.002 0.014
instance64 0.002 0.009
instance65 0.002 0.009
instance66 0.002 0.008
instance67 0.002 0.008
instance68 0.002 0.013
instance69 0.003 0.028
instance70 0.002 0.009
instance71 0.002 0.012
instance72 0.002 0.029
instance73 0.001 0.013
instance74 0.002 0.009
instance75 0.002 0.013
instance76 0.002 0.009
instance77 0.002 0.01
instance78 0.002 0.009
instance79 0.002 0.036
instance80 0.002 0.013
instance81 0.002 0.009
instance82 0.002 0.009
instance83 0.002 0.013
instance84 0.002 0.008
instance85 0.002 0.008
instance86 0.002 0.025
instance87 0.002 0.009
instance88 0.002 0.009
instance89 0.002 0.008
instance90 0.002 0.014
instance91 0.002 0.009
instance92 0.002 0.009
instance93 0.002 0.009
instance94 0.002 0.009
instance95 0.002 0.01
instance96 0.002 0.008
instance97 0.004 0.048
instance98 0.002 0.009
instance99 0.001 0.014
instance100 0.002 0.009
instance101 0.002 0.008
instance102 0.002 0.009
instance103 0.002 0.009
instance104 0.002 0.009
instance105 0.002 0.012
instance106 0.002 0.009
instance107 0.002 0.01
instance108 0.002 0.02
instance109 0.002 0.013
instance110 0.002 0.009
instance111 0.002 0.009
instance112 0.002 0.02
instance113 0.002 0.009
instance114 0.002 0.009
instance115 0.002 0.018
instance116 0.002 0.017
instance117 0.002 0.009
instance118 0.002 0.008
instance119 0.002 0.008
instance120 0.002 0.017
instance121 0.003 0.038
instance122 0.002 0.019
instance123 0.002 0.013
instance124 0.002 0.009
instance125 0.003 0.047
instance126 0.002 0.013
instance127 0.002 0.009
instance128 0.002 0.009
instance129 0.002 0.009
instance130 0.002 0.01
instance131 0.002 0.009
instance132 0.002 0.013
instance133 0.004 0.036
instance134 0.002 0.009
instance135 0.002 0.008
instance136 0.002 0.008
instance137 0.002 0.012
instance138 0.002 0.011
instance139 0.002 0.008
instance140 0.002 0.008
instance141 0.002 0.008
instance142 0.002 0.01
instance143 0.001 0.012
instance144 0.002 0.008
instance145 0.002 0.008
instance146 0.002 0.008
instance147 0.002 0.008
instance148 0.002 0.014
instance149 0.002 0.043
instance150 0.003 0.03
instance151 0.002 0.014
instance152 0.002 0.009
instance153 0.003 0.045
instance154 0.002 0.01
instance155 0.003 0.043
instance156 0.002 0.009
instance157 0.002 0.014
instance158 0.002 0.01
instance159 0.002 0.022
instance160 0.002 0.009
instance161 0.002 0.01
instance162 0.002 0.013
instance163 0.002 0.011
instance164 0.002 0.011
instance165 0.002 0.009
instance166 0.002 0.009
instance167 0.002 0.009
instance168 0.002 0.009
instance169 0.003 0.029
instance170 0.002 0.009
instance171 0.002 0.008
instance172 0.002 0.009
instance173 0.002 0.014
instance174 0.002 0.008
instance175 0.003 0.039
instance176 0.002 0.009
instance177 0.002 0.008
instance178 0.002 0.008
instance179 0.002 0.008
instance180 0.002 0.014
instance181 0.002 0.009
instance182 0.001 0.02
instance183 0.001 0.01
instance184 0.002 0.009
instance185 0.003 0.009
instance186 0.002 0.008
instance187 0.002 0.011
instance188 0.002 0.011
instance189 0.002 0.008
instance190 0.002 0.008
instance191 0.002 0.008
instance192 0.002 0.008
instance193 0.002 0.009
instance194 0.002 0.008
instance195 0.002 0.009
instance196 0.002 0.009
instance197 0.002 0.009
instance198 0.002 0.009
instance199 0.002 0.013
instance200 0.001 0.004
instance201 0.001 0.006
instance202 0.001 0.005
instance203 0.001 0.003
instance204 0.001 0.004
instance205 0.001 0.002
instance206 0.001 0.004
instance207 0.001 0.004
instance208 0.001 0.003
instance209 0.001 0.004
instance210 0.001 0.004
instance211 0.001 0.002
instance212 0.001 0.002
instance213 0.001 0.002
instance214 0.001 0.003
instance215 0.001 0.01
instance216 0.001 0.004
instance217 0.001 0.007
instance218 0.001 0.003
instance219 0.001 0.004
instance220 0.001 0.003
instance221 0.001 0.01
instance222 0.001 0.004
instance223 0.001 0.003
